slice,run_id,setup_id,setup_type_original,entry_signal_ts,exit_reason,exit_reason_category,close_return_pct,mfe_pct,mae_pct,trade_return_pct,replay_minus_outcome,outcome_positive,replay_positive
ctx_spike_count_ge2,2026-04-05_to_2026-04-05_run_001,4337af0c2a8e7aab8f9e1b9a,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-05 12:32:00+00:00,TAKE_PROFIT,TARGET,0.00170913,0.00270544,0.00052583,0.00087003,-0.00083910,True,True
ctx_spike_count_ge2,2026-04-05_to_2026-04-05_run_001,3e5e03b868f551be22ab1431,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-05 20:26:00+00:00,STOP_LOSS,STOP,-0.00264601,0.00002818,-0.00360415,-0.00002670,0.00261931,False,False
ctx_spike_count_ge2,2026-04-05_to_2026-04-05_run_001,05ac0f4caba11cb9898043ef,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-05 21:54:00+00:00,STOP_LOSS,STOP,-0.00082302,0.00251936,-0.00229160,-0.00020635,0.00061667,False,False
ctx_spike_count_ge2,2026-04-06_to_2026-04-06_run_001,339b884fb653dc8668500677,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-06 12:31:00+00:00,TAKE_PROFIT,TARGET,-0.00010371,0.00096656,-0.00142463,0.00016855,0.00027227,False,True
ctx_spike_count_ge2,2026-04-06_to_2026-04-06_run_001,997192969648603041d89db8,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-06 14:39:00+00:00,EXPIRY,EXPIRY,0.00452802,0.00608639,0.00277306,-0.00070200,-0.00523003,True,False
ctx_spike_count_ge2,2026-04-06_to_2026-04-06_run_001,0c73ebb37dc32d075b0c2c2b,FAILED_BREAK_RECLAIM_SHORT,2026-04-06 16:50:00+00:00,TAKE_PROFIT,TARGET,0.00977611,0.00989995,0.00086971,0.00134421,-0.00843190,True,True
ctx_spike_count_ge2,2026-04-06_to_2026-04-06_run_001,a6dc7c32e568dabfccbb9e7b,FAILED_BREAK_RECLAIM_SHORT,2026-04-06 16:50:00+00:00,TAKE_PROFIT,TARGET,0.00977611,0.00989995,0.00086971,0.00134421,-0.00843190,True,True
ctx_spike_count_ge2,2026-04-07_to_2026-04-07_run_001,54ec42c4f5d3eacffae365af,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-07 04:18:00+00:00,TAKE_PROFIT,TARGET,0.00064343,0.00154700,0.00004445,0.00006886,-0.00057457,True,True
ctx_spike_count_ge2,2026-04-07_to_2026-04-07_run_001,ce92016df4631ee4300589d3,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-07 12:57:00+00:00,TAKE_PROFIT,TARGET,-0.00219332,0.00136918,-0.00261123,0.00025868,0.00245200,False,True
ctx_spike_count_ge2,2026-04-07_to_2026-04-07_run_001,48229a2b6df4d82b32804d54,IMPULSE_FADE_RECLAIM_SHORT_V1,2026-04-07 16:04:00+00:00,TAKE_PROFIT,TARGET,0.00189869,0.00314788,-0.00036539,0.00021201,-0.00168667,True,True
