ExpiryModel,SetupId,Direction,SourceTF,RefExit,SweepExit,RefR,SweepR,DeltaR_SweepMinusRef,RefRiskDistance,SweepRiskDistance,RefHoldBars,SweepHoldBars,SweepSavesReferenceSL,SweepMakesTPUnreachable,ReferenceWinsTinyR
BARS_AFTER_ACTIVATION:1440,de5e2b6929f9c778314f7108,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,38.1,48.4,2,3,False,False,False
BARS_AFTER_ACTIVATION:1440,e0535b2b1003477c2c4c76b8,SHORT,H1,TARGET,TARGET,1.5,1.5,0.0,11.6,15.6,1,1,False,False,False
BARS_AFTER_ACTIVATION:1440,e5379aee533aa6102ed030a3,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,76.2,132.3,1,25,False,False,False
BARS_AFTER_ACTIVATION:1440,e62eeaf0afabcce219185f8f,SHORT,H1,TARGET,TARGET,1.5,1.5,0.0,58.4,102.5,4,5,False,False,False
BARS_AFTER_ACTIVATION:1440,ee3a427c406780624a37e615,SHORT,H4,STOP,STOP,-1.0,-1.0,0.0,8.1,188.8,1,28,False,False,False
BARS_AFTER_ACTIVATION:1440,f015269d47c4d8b05862fd28,LONG,H4,STOP,STOP,-1.0,-1.0,0.0,47.5,87.1,0,0,False,False,False
BARS_AFTER_ACTIVATION:1440,f105f7ceb9afde2a065a6337,SHORT,H1,STOP,TARGET,-1.0,1.5,2.5,157.9,258.9,2,23,True,False,False
BARS_AFTER_ACTIVATION:1440,f44d0dac01c9060bbc4a56e2,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,20.1,53.8,3,6,False,False,False
BARS_AFTER_ACTIVATION:1440,f47b3e7705299fffae725c1a,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,3.5,53.0,1,0,False,False,False
BARS_AFTER_ACTIVATION:1440,f500d59a91ba2244e532d2e1,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,33.7,57.9,2,13,False,False,False
BARS_AFTER_ACTIVATION:1440,f5d1f1a385a289fbee74ac65,LONG,H1,STOP,TARGET,-1.0,1.5,2.5,66.5,228.5,3,106,True,False,False
BARS_AFTER_ACTIVATION:1440,f890e84d6e4c66b0e57341df,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,134.0,144.8,3,3,False,False,False
BARS_AFTER_ACTIVATION:1440,faabff822baa2bc8469718c6,SHORT,H4,TARGET,TARGET,1.5,1.5,0.0,17.4,145.4,1,3,False,False,False
BARS_AFTER_ACTIVATION:1440,fb0d7805a4162833c2b495fd,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,7.6,30.6,1,55,False,False,False
BARS_AFTER_ACTIVATION:1440,fbac09144b83157ce6e05ade,SHORT,H4,STOP,STOP,-1.0,-1.0,-0.0,62.9,271.3,0,392,False,False,False
