StopModel,SetupId,Direction,SourceTF,Exit1440,Exit2880,Exit4320,Exit5760,R1440,R2880,R4320,R5760,Hold1440,Hold5760,ChangedVs1440,Expiry1440ToTP,Expiry1440ToSL,UnchangedAcrossExpiries
REFERENCE_LEVEL_HARD_STOP,8a7d95d769b2f7b579290782,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,8e85a4468a9719d03a0d0171,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,9002a65aedaa23d6742567d2,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,938d42fcd70403ea85ab5f50,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,10,10,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,98bea120ef4adbb2d278f545,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,3,3,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,9c6b9223803a95ea039e6862,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,9ec69c6605ca85675e0e6e06,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a144411e1f60a279a904c690,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,7,7,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a188812fcd0010e08812b39c,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a4b5b44714ca7e13a0dfd875,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a5309a6d54b66f59261b0e8c,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a598ee489c6266b9663bdda4,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a677c262f570695e493cd91f,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a694e9f566e0457ed8123d7c,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a6dc7c32e568dabfccbb9e7b,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a7041ce1f10fd1f3af817637,LONG,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
